                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.46944,                0.84445,                 1.0805,                0.73467,                0.80054,                0.82539,                0.76883,                0.38853,                0.80565,                 1.0583,               0.003367,               0.003367,               0.003367
                    136,                0.47578,                0.84073,                 1.0893,                0.73479,                 0.8373,                0.83908,                0.77992,                0.39475,                0.76087,                 1.0635,              0.0033175,              0.0033175,              0.0033175
                    137,                0.48138,                0.84581,                 1.0825,                 0.6746,                0.86207,                0.82608,                0.76566,                0.39425,                0.77747,                 1.0671,               0.003268,               0.003268,               0.003268
                    138,                0.47946,                0.85734,                 1.0896,                0.71882,                0.84805,                0.83309,                 0.7758,                 0.3818,                0.76642,                 1.0483,              0.0032185,              0.0032185,              0.0032185
                    139,                0.47663,                0.86368,                 1.0927,                0.70807,                0.84237,                0.81473,                0.75846,                0.38887,                0.80258,                 1.0531,               0.003169,               0.003169,               0.003169
                    140,                0.47494,                0.84392,                 1.0797,                 0.7417,                0.78774,                0.81739,                0.75999,                0.38636,                0.80532,                 1.0527,              0.0031195,              0.0031195,              0.0031195
                    141,                0.46507,                0.83093,                 1.0818,                0.71033,                0.85014,                0.82337,                0.77029,                0.37443,                0.79801,                 1.0421,                0.00307,                0.00307,                0.00307
                    142,                0.46923,                0.82553,                 1.0716,                0.76233,                0.85282,                0.85585,                0.80095,                0.38097,                0.76469,                 1.0481,              0.0030205,              0.0030205,              0.0030205
                    143,                0.47009,                0.80658,                 1.0726,                0.69625,                0.86881,                0.83406,                0.78017,                0.37938,                0.79506,                  1.047,               0.002971,               0.002971,               0.002971
                    144,                0.46588,                0.83853,                 1.0996,                0.69187,                0.83455,                0.81102,                0.75408,                0.38298,                0.78772,                 1.0497,              0.0029215,              0.0029215,              0.0029215
                    145,                0.46003,                0.82327,                 1.0815,                0.72429,                0.85132,                0.82821,                0.77129,                 0.3885,                0.76646,                 1.0554,               0.002872,               0.002872,               0.002872
                    146,                0.45788,                0.79894,                 1.0643,                0.68589,                0.86029,                0.82034,                0.76599,                0.38396,                0.82643,                 1.0515,              0.0028225,              0.0028225,              0.0028225
                    147,                0.46158,                0.81399,                 1.0817,                0.74199,                0.82963,                0.82726,                0.77184,                0.38366,                0.78543,                 1.0488,               0.002773,               0.002773,               0.002773
                    148,                0.47062,                0.83921,                 1.0751,                0.74278,                 0.8386,                0.83566,                0.77782,                0.37974,                0.77183,                 1.0419,              0.0027235,              0.0027235,              0.0027235
                    149,                0.46213,                0.81531,                 1.0793,                0.73854,                0.83599,                0.83302,                0.77887,                 0.3766,                0.77525,                 1.0393,               0.002674,               0.002674,               0.002674
                    150,                0.46591,                0.82656,                 1.0782,                0.77809,                0.83025,                0.84389,                0.79053,                0.37737,                 0.7671,                 1.0404,              0.0026245,              0.0026245,              0.0026245
                    151,                0.46091,                0.80443,                 1.0762,                0.71933,                0.83433,                0.83632,                0.78256,                0.38358,                0.78077,                 1.0471,               0.002575,               0.002575,               0.002575
                    152,                0.46958,                0.83854,                 1.0835,                0.69956,                0.87636,                0.84227,                0.78512,                0.38401,                0.74691,                 1.0514,              0.0025255,              0.0025255,              0.0025255
                    153,                0.46418,                0.85003,                 1.0861,                0.75678,                0.81186,                0.84271,                0.78974,                 0.3772,                0.80206,                 1.0451,               0.002476,               0.002476,               0.002476
                    154,                0.45477,                0.81162,                  1.072,                 0.7399,                 0.8219,                0.84285,                0.78931,                0.37499,                 0.7611,                 1.0402,              0.0024265,              0.0024265,              0.0024265
                    155,                0.45943,                0.82002,                 1.0757,                0.72826,                 0.8093,                0.82014,                0.76796,                0.38497,                0.79637,                 1.0486,               0.002377,               0.002377,               0.002377
                    156,                0.45894,                0.81783,                 1.0742,                0.71972,                0.85659,                0.85029,                 0.7943,                0.37938,                0.75791,                 1.0445,              0.0023275,              0.0023275,              0.0023275
